# frequency, power_density
5.032061432866289863e+01 3.473832256536021390e+01
5.055696749673822410e+01 7.167870287212798530e+01
5.079332066481355668e+01 1.095305528578359997e+02
5.102967383288888925e+01 5.919807196243590397e+01
5.126602700096421472e+01 5.343239819889753761e+01
5.150238016903954019e+01 1.266808843409373964e+02
5.173873333711487277e+01 1.007201981850077459e+02
5.197508650519020534e+01 5.306262377025905863e+01
5.221143967326553081e+01 5.606724557057567182e+01
5.244779284134085628e+01 1.907452627699548202e+02
5.268414600941619597e+01 3.166051959909594871e+02
5.292049917749152854e+01 1.711894648721454644e+02
5.315685234556685401e+01 4.060060231647865692e+01
5.339320551364217948e+01 6.674602336986596640e+01
5.362955868171751206e+01 9.622966705149129041e+01
5.386591184979284463e+01 1.275465174606808638e+01
5.410226501786817010e+01 5.768377670773841004e+01
5.433861818594349558e+01 1.646451506939875458e+02
5.457497135401882105e+01 1.144497660573925799e+02
5.481132452209416073e+01 2.447695570344602345e+01
5.504767769016948620e+01 1.114827758465755778e+02
5.528403085824481167e+01 1.315793627246540893e+02
5.552038402632013714e+01 1.250042414950053455e+02
5.575673719439547682e+01 2.416515067489732260e+01
5.599309036247080940e+01 1.378509587782330925e+02
5.622944353054613487e+01 1.971149389884434129e+02
5.646579669862146034e+01 2.574156742557208304e+02
5.670214986669680002e+01 1.097067394768136808e+02
5.693850303477212549e+01 6.854467848709600020e+00
5.717485620284745096e+01 3.605856892593938312e+01
5.741120937092277643e+01 3.572882161992459782e+00
5.764756253899811611e+01 2.005054654174988826e+01
5.788391570707344158e+01 4.323447211843033955e+01
5.812026887514876705e+01 5.505509150817967878e+01
5.835662204322409252e+01 1.737149100829306647e+01
5.859297521129943220e+01 2.712716093225274605e+01
5.882932837937475767e+01 5.877303236122416052e+01
5.906568154745008314e+01 7.497845476293937850e+01
5.930203471552541572e+01 3.128133657522054278e+01
5.953838788360075540e+01 3.026747614773703532e+01
5.977474105167608087e+01 8.788189461349508846e+00
6.001109421975140634e+01 5.384167979239496304e+00
6.024744738782673181e+01 1.513710247395094655e+01
6.048380055590207149e+01 2.349482934902832909e+01
6.072015372397739696e+01 2.260424871158364013e+01
6.095650689205272243e+01 7.289083646856218479e+01
6.119286006012804791e+01 1.330240435126330922e+01
