# frequency, psd_without_bg
5.575673719439547682e+01 2.744569744774253972e-01
5.599309036247080940e+01 1.579590683495047498e+00
5.622944353054613487e+01 2.278560185330842813e+00
5.646579669862146034e+01 3.001500997270138082e+00
5.670214986669680002e+01 1.290196550708012646e+00
5.693850303477212549e+01 8.129654556125653908e-02
5.717485620284745096e+01 4.312603512339737710e-01
5.741120937092277643e+01 4.308633635364958470e-02
5.764756253899811611e+01 2.437778687476160333e-01
5.788391570707344158e+01 5.299110805144311431e-01
5.812026887514876705e+01 6.801942369559703661e-01
5.835662204322409252e+01 2.163183044340229455e-01
5.859297521129943220e+01 3.404392262816145487e-01
5.882932837937475767e+01 7.432776298252333769e-01
5.906568154745008314e+01 9.554458561840470932e-01
5.930203471552541572e+01 4.016157520150492877e-01
5.953838788360075540e+01 3.914866852155591825e-01
5.977474105167608087e+01 1.145026037027393334e-01
6.001109421975140634e+01 7.065938328298081161e-02
6.024744738782673181e+01 2.000735732065781480e-01
6.048380055590207149e+01 3.127344885540630504e-01
6.072015372397739696e+01 3.029780501688706940e-01
6.095650689205272243e+01 9.837235424780518267e-01
6.119286006012804791e+01 1.807469983975580063e-01
6.142921322820338759e+01 7.726617119716118198e-01
6.166556639627871306e+01 1.082203097910815703e+00
6.190191956435403853e+01 6.410997172221735707e-02
6.213827273242936400e+01 8.496400941115814787e-01
6.237462590050470368e+01 1.796203361894533668e+00
6.261097906858002915e+01 1.454802433221101587e+00
6.284733223665536173e+01 8.048978257323777807e-01
6.308368540473068720e+01 2.159926560029820294e-02
6.332003857280602688e+01 8.785469690614888805e-01
6.355639174088135235e+01 1.069384573824923690e+00
6.379274490895667782e+01 1.814272748685956893e+00
6.402909807703200329e+01 2.027447883383585392e+00
6.426545124510734297e+01 1.792657822204795359e-01
6.450180441318266844e+01 1.654725436197699573e-01
6.473815758125799391e+01 1.954227487657402562e-01
6.497451074933331938e+01 1.863180335604182059e-01
6.521086391740865906e+01 1.168274558019558151e+00
6.544721708548398453e+01 1.590900814269208263e+00
6.568357025355931000e+01 1.208249292160670674e+00
6.591992342163463547e+01 9.463105003465220877e-01
6.615627658970997516e+01 3.372218773870455655e-01
6.639262975778530063e+01 1.794070562228526344e-01
6.662898292586062610e+01 6.893401789430440019e-01
6.686533609393595157e+01 1.463080157303370710e+00
6.710168926201129125e+01 1.430227740934582499e-02
6.733804243008661672e+01 8.882165925905438630e-01
6.757439559816195640e+01 4.142753915536798726e-01
6.781074876623728187e+01 3.946361946010578520e-02
6.804710193431262155e+01 7.687142397455911658e-01
6.828345510238794702e+01 1.334373904927269594e+00
6.851980827046327249e+01 5.443544531529173058e-01
6.875616143853859796e+01 6.688349279262073566e-01
6.899251460661393764e+01 2.658246523714614895e+00
6.922886777468926311e+01 2.328812852318546955e+00
6.946522094276458859e+01 1.819274855181084519e-02
6.970157411083991406e+01 4.627312838642434478e-01
6.993792727891525374e+01 3.138339778630965249e-01
7.017428044699057921e+01 8.503655862827550482e-01
7.041063361506590468e+01 6.154190009088076341e-01
7.064698678314123015e+01 1.173140450186502814e+00
7.088333995121656983e+01 5.406978678523972626e-01
7.111969311929189530e+01 1.330009590192063329e-01
7.135604628736722077e+01 1.351006354191893077e+00
7.159239945544254624e+01 1.925323240611984121e-01
7.182875262351788592e+01 9.485155265913166600e-01
7.206510579159321139e+01 6.720715771772409752e-01
7.230145895966853686e+01 2.208519786044692790e+00
7.253781212774386233e+01 3.639014985736495511e+00
7.277416529581920202e+01 8.100216876948543865e-01
7.301051846389452749e+01 4.271011398802687653e-02
7.324687163196985296e+01 8.285272478474817182e-02
7.348322480004517843e+01 1.232894037969793077e-01
7.371957796812051811e+01 4.948427396068329487e-01
7.395593113619584358e+01 1.352010052395959727e+00
7.419228430427116905e+01 1.144654773088214172e+00
7.442863747234650873e+01 3.865606360295194555e-01
7.466499064042184841e+01 1.798967625086834998e-01
7.490134380849717388e+01 3.568369492175974544e-01
7.513769697657249935e+01 1.252736463840852688e+00
7.537405014464782482e+01 7.987725006141084272e-01
7.561040331272316450e+01 3.593274222293814657e-01
7.584675648079848997e+01 2.686839524668911405e-01
7.608310964887381544e+01 2.907130821028347523e-01
7.631946281694914092e+01 6.175078445334233335e-01
7.655581598502448060e+01 1.014408074644772340e+00
7.679216915309980607e+01 3.008752225667166158e-01
7.702852232117513154e+01 2.980128870990033985e+00
7.726487548925045701e+01 3.644528961912467668e+00
7.750122865732579669e+01 2.681579733483037575e+00
7.773758182540112216e+01 3.067406187057864386e+00
7.797393499347644763e+01 4.846738045545129769e-01
7.821028816155177310e+01 2.784645468134892443e+00
7.844664132962711278e+01 1.840299482270213227e+00
7.868299449770243825e+01 3.960962447164165789e-01
7.891934766577776372e+01 4.397206390529612707e-01
7.915570083385308919e+01 1.410296667869476162e+00
7.939205400192842887e+01 1.146758963222255900e+00
7.962840717000375435e+01 1.032971160911248243e-01
7.986476033807907982e+01 1.574173317037446562e+00
8.010111350615440529e+01 4.979961583668496949e+00
8.033746667422974497e+01 2.184606627286584057e+00
8.057381984230507044e+01 9.690172260073269817e-01
8.081017301038039591e+01 4.847538721567812736e+00
8.104652617845573559e+01 1.632699405230600753e+00
8.128287934653107527e+01 2.965056147511232254e+00
8.151923251460640074e+01 2.527199660473128606e+00
8.175558568268172621e+01 1.310470038762654443e+00
8.199193885075705168e+01 3.353224522591732981e+00
8.222829201883239136e+01 1.390762793653246288e+00
8.246464518690771683e+01 7.795257536602157034e-01
8.270099835498304230e+01 2.401010977579746353e+00
8.293735152305836777e+01 1.704689902948385738e+00
8.317370469113370746e+01 5.733563179088798645e-01
8.341005785920903293e+01 1.328710612580371320e-01
8.364641102728435840e+01 9.209679775049592343e-02
8.388276419535968387e+01 1.069679508954934688e+00
8.411911736343502355e+01 2.386404887778479089e-01
8.435547053151034902e+01 2.484912539819712052e+00
8.459182369958567449e+01 1.932543466971630597e+00
8.482817686766099996e+01 5.410804313151697936e-02
8.506453003573633964e+01 1.632160290964631832e-01
8.530088320381166511e+01 2.442370941306870158e+00
8.553723637188699058e+01 1.424061863644074277e+00
8.577358953996231605e+01 1.224892097075908071e+00
8.600994270803764152e+01 4.404159457622320861e-01
8.624629587611298120e+01 2.588817321853161602e+00
8.648264904418830668e+01 4.228846317233796448e-01
8.671900221226363215e+01 1.800574020509822182e+00
8.695535538033897183e+01 3.698809950352249798e-01
8.719170854841429730e+01 1.332244234327263799e+00
8.742806171648962277e+01 9.788082821578095727e-01
8.766441488456496245e+01 5.792739739914166686e-01
8.790076805264028792e+01 8.913142729419223365e-01
8.813712122071562760e+01 1.129804613782873224e+00
8.837347438879095307e+01 6.132071597638837357e-01
8.860982755686627854e+01 1.024220139152643427e-01
8.884618072494161822e+01 7.549534636202893667e-01
8.908253389301694369e+01 1.095125612411093075e+00
8.931888706109226916e+01 1.430455108306696088e+00
8.955524022916759463e+01 1.622148834990678745e+00
8.979159339724292010e+01 1.521579962802322106e+00
9.002794656531825979e+01 7.862720817946022844e-01
9.026429973339358526e+01 2.638311170864046651e-01
9.050065290146891073e+01 1.528664865310506993e-01
9.073700606954425041e+01 1.301204882987452738e+00
9.097335923761957588e+01 3.595809187474183211e-01
9.120971240569490135e+01 5.519276278652831547e-01
9.144606557377022682e+01 4.839243937864557976e-01
9.168241874184555229e+01 5.877145143531211646e-01
9.191877190992089197e+01 8.350022609960980891e-01
9.215512507799621744e+01 3.750788555173235617e-01
9.239147824607154291e+01 2.810616838085742142e-01
9.262783141414688259e+01 2.599276768856776942e-01
9.286418458222220806e+01 5.539287591747773520e-01
9.310053775029753353e+01 1.446306779238985263e-01
9.333689091837285901e+01 2.888139182965581905e-02
9.357324408644818448e+01 8.198503884422607413e-02
9.380959725452352416e+01 4.078246706366555063e-01
9.404595042259884963e+01 3.109535710671522679e-01
9.428230359067418931e+01 4.808094742862645821e-01
9.451865675874952899e+01 3.394871636254617742e-01
9.475500992682485446e+01 5.390893950306877569e-01
9.499136309490017993e+01 5.931422306982093717e-01
9.522771626297550540e+01 1.666846849766280947e+00
9.546406943105083087e+01 1.992037930403155466e+00
9.570042259912617055e+01 3.109210105942332714e-01
9.593677576720149602e+01 7.336038735315432158e-01
9.617312893527682149e+01 2.325959441648781933e-01
9.640948210335216118e+01 2.862612224191964372e-01
9.664583527142748665e+01 1.399931804759066090e+00
9.688218843950281212e+01 1.035795444900385887e+00
9.711854160757813759e+01 2.224717190326254979e-01
9.735489477565346306e+01 1.626581905775122960e-01
9.759124794372880274e+01 1.514152538125698444e-01
9.782760111180412821e+01 1.505761463036245709e-02
9.806395427987945368e+01 3.580294160079257049e-01
9.830030744795479336e+01 5.480173218386101830e-01
9.853666061603011883e+01 2.842054425916587523e-01
9.877301378410544430e+01 1.842766387276932594e-01
9.900936695218076977e+01 1.012182327553062811e+00
9.924572012025609524e+01 1.062621307981607588e+00
9.948207328833143492e+01 1.796555281123949355e+00
9.971842645640676039e+01 1.471774388868752337e-01
9.995477962448208586e+01 5.746732062194382706e+00
1.001911327925574255e+02 4.683285116803838299e+00
1.004274859606327510e+02 8.354461086077037690e-02
1.006638391287080765e+02 1.349973596567151102e+00
1.009001922967834020e+02 9.948265329133548773e-01
1.011365454648587416e+02 3.741120093443998651e-01
1.013728986329340813e+02 5.330837155241764380e-01
1.016092518010094068e+02 6.846267344826953982e-01
1.018456049690847323e+02 2.134340718533025427e-01
1.020819581371600719e+02 9.644864948313738306e-01
1.023183113052353974e+02 2.232537712020014886e-01
1.025546644733107229e+02 6.603022984244885096e-01
1.027910176413860484e+02 1.056612310066639360e+00
1.030273708094613738e+02 3.215639538007709908e-02
1.032637239775367135e+02 2.874371581820718280e-01
1.035000771456120390e+02 1.009444218055862569e-01
1.037364303136873644e+02 5.726242988949865609e-01
1.039727834817627041e+02 9.269559202168056178e-01
1.042091366498380296e+02 8.506082891630741827e-01
1.044454898179133551e+02 1.118221587663231209e-01
1.046818429859886805e+02 1.735293016801795762e-01
1.049181961540640060e+02 3.617834322021623583e-01
1.051545493221393457e+02 5.336486901397914373e-01
1.053909024902146712e+02 8.474342114467353637e-01
1.056272556582899966e+02 3.295958535503780706e-01
1.058636088263653363e+02 5.307732465292876872e-02
1.060999619944406618e+02 1.070521508711821612e+00
1.063363151625159873e+02 1.079516646392641110e+00
1.065726683305913127e+02 2.625163163853592718e-01
1.068090214986666382e+02 1.818839961510204217e+00
1.070453746667419779e+02 4.346966162314128690e-01
1.072817278348173033e+02 1.109252798028756537e+00
1.075180810028926288e+02 2.791508369186765037e+00
1.077544341709679685e+02 1.568836490806183592e+00
1.079907873390433082e+02 5.946750359143579412e-02
1.082271405071186336e+02 5.860569018710320988e-01
1.084634936751939591e+02 2.076887088361287215e-02
1.086998468432692846e+02 2.938198519355341154e-01
1.089362000113446243e+02 2.785241824108831143e-01
1.091725531794199497e+02 9.162045104835202514e-01
1.094089063474952752e+02 3.557449739405980971e+00
1.096452595155706149e+02 2.202132329737858996e+00
1.098816126836459404e+02 3.480019084408417229e-01
1.101179658517212658e+02 3.563806729472908108e-01
1.103543190197965913e+02 5.745460406932865194e-01
1.105906721878719168e+02 1.281547291966828261e+00
1.108270253559472565e+02 1.182150622901092796e-01
1.110633785240225819e+02 4.877404648473411819e-01
1.112997316920979074e+02 1.040440200645931929e-01
1.115360848601732471e+02 1.355852762204295070e+00
1.117724380282485726e+02 2.129812365843927857e+00
1.120087911963238980e+02 9.358185174369429982e-01
1.122451443643992235e+02 3.422108808295776239e-01
1.124814975324745490e+02 4.346406149954005760e-01
1.127178507005498886e+02 1.553177335250990054e-01
1.129542038686252141e+02 3.418159243252162360e-01
1.131905570367005396e+02 7.248684922125220309e-01
1.134269102047758793e+02 9.621495552937505691e-01
1.136632633728512047e+02 3.801838905180783268e-01
1.138996165409265302e+02 2.936721898733747338e-01
1.141359697090018557e+02 2.588323269335679466e+00
1.143723228770771954e+02 2.244209446390092566e+00
